FileTest	CH_BT	CH_CCHV	CH_CG	CH_CNGM	CH_CP	CH_DD	CH_DL	CH_DLMC	CH_DPPC	CH_DTBT	CH_DTTD	CH_DTTK	CH_DTTN	CH_DX	CH_DXN	CH_LL	CH_LNC	CH_NTQT	CH_QG	CH_QM	CH_QTVD	CH_SLC	CH_SQC	CH_TV	CH_XX	
CH_BT	9 	0 	5 	0 	0 	2 	0 	0 	1 	0 	0 	0 	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	20
CH_CCHV	0 	9 	1 	0 	0 	1 	4 	0 	0 	1 	0 	1 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	1 	0 	0 	20
CH_CG	4 	0 	3 	0 	0 	2 	0 	2 	0 	1 	1 	1 	2 	1 	0 	0 	0 	1 	0 	0 	0 	0 	1 	0 	1 	20
CH_CNGM	0 	0 	0 	8 	1 	1 	3 	0 	0 	0 	0 	3 	0 	0 	0 	0 	2 	2 	0 	0 	0 	0 	0 	0 	0 	20
CH_CP	0 	2 	0 	3 	3 	0 	4 	1 	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	3 	0 	0 	20
CH_DD	0 	1 	0 	2 	0 	9 	0 	2 	1 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	2 	0 	1 	0 	0 	0 	20
CH_DL	0 	2 	0 	5 	2 	4 	5 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20
CH_DLMC	0 	0 	0 	0 	0 	0 	0 	8 	0 	3 	0 	4 	1 	0 	0 	0 	0 	1 	0 	2 	1 	0 	0 	0 	0 	20
CH_DPPC	0 	0 	2 	1 	0 	0 	0 	0 	11 	1 	0 	0 	0 	1 	0 	0 	0 	2 	0 	0 	2 	0 	0 	0 	0 	20
CH_DTBT	0 	6 	0 	1 	0 	0 	0 	0 	0 	4 	0 	4 	0 	0 	0 	0 	0 	0 	0 	3 	0 	2 	0 	0 	0 	20
CH_DTTD	1 	0 	0 	0 	0 	2 	2 	2 	0 	0 	1 	2 	2 	0 	0 	0 	0 	0 	0 	2 	1 	0 	5 	0 	0 	20
CH_DTTK	1 	0 	0 	1 	0 	1 	0 	0 	0 	1 	0 	14 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	20
CH_DTTN	0 	0 	0 	1 	0 	0 	1 	0 	0 	1 	0 	2 	9 	0 	0 	0 	0 	0 	0 	2 	0 	0 	2 	2 	0 	20
CH_DX	2 	0 	0 	1 	0 	0 	1 	0 	1 	0 	0 	0 	0 	9 	0 	0 	0 	0 	0 	1 	0 	0 	5 	0 	0 	20
CH_DXN	0 	0 	0 	1 	0 	0 	0 	4 	1 	0 	1 	3 	1 	0 	6 	0 	0 	0 	2 	0 	1 	0 	0 	0 	0 	20
CH_LL	0 	1 	0 	1 	0 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 	4 	3 	0 	0 	0 	3 	1 	5 	0 	0 	20
CH_LNC	0 	1 	0 	0 	0 	0 	2 	0 	0 	2 	0 	0 	0 	0 	0 	0 	14 	1 	0 	0 	0 	0 	0 	0 	0 	20
CH_NTQT	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	1 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	20
CH_QG	3 	0 	3 	0 	0 	1 	0 	2 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6 	3 	0 	0 	0 	1 	0 	20
CH_QM	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	5 	1 	0 	0 	0 	1 	0 	1 	1 	3 	0 	1 	5 	0 	1 	20
CH_QTVD	0 	0 	0 	0 	0 	0 	2 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	12 	0 	1 	3 	0 	20
CH_SLC	0 	0 	0 	2 	0 	0 	0 	0 	0 	2 	0 	1 	1 	0 	1 	0 	0 	0 	1 	0 	2 	8 	2 	0 	0 	20
CH_SQC	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	1 	0 	0 	0 	1 	10 	1 	1 	20
CH_TV	2 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 	1 	0 	4 	0 	0 	5 	0 	16
CH_XX	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	9 	12
Ket qua nhan dang trung binh 0.38 
	0
