FileTest	QH_BBBD	QH_BDMT	QH_BQ	QH_CD	QH_CTVTVT	QH_CTX	QH_CVGCTQ	QH_DBBMCG	QH_DCSC	QH_DQNB	QH_GDCC	QH_GTGM	QH_LGD	QH_LVDC	QH_MN	QH_NGMD	QH_NMKN	QH_NODHLV	QH_NQNL	QH_SCLK	QH_SMAD	QH_TETCHL	QH_TPTN	QH_TRBMSTC	QH_VBM	
QH_BBBD	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
QH_BDMT	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	
QH_BQ	0.00 	0.25 	0.75 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
QH_CD	0.00 	0.00 	0.00 	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
QH_CTVTVT	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.75 	0.00 	0.00 	
QH_CTX	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.50 	0.00 	0.00 	
QH_CVGCTQ	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.50 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	
QH_DBBMCG	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.75 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
QH_DCSC	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
QH_DQNB	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.75 	0.00 	0.00 	0.00 	0.00 	0.00 	0.25 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	
