FileTest	CH	QH	
CH_BT	0.90 	0.10 	
CH_CCHV	0.95 	0.05 	
CH_CG	0.95 	0.05 	
CH_CNGM	0.70 	0.30 	
CH_CP	0.45 	0.55 	
CH_DD	0.75 	0.25 	
CH_DL	0.50 	0.50 	
CH_DLMC	0.60 	0.40 	
CH_DPPC	0.60 	0.40 	
CH_DTBT	0.85 	0.15 	
CH_DTTD	0.70 	0.30 	
CH_DTTK	0.85 	0.15 	
CH_DTTN	0.75 	0.25 	
CH_DX	0.75 	0.25 	
CH_DXN	0.65 	0.35 	
CH_LL	0.95 	0.05 	
CH_LNC	0.60 	0.40 	
CH_NTQT	0.80 	0.20 	
CH_QG	0.85 	0.15 	
CH_QM	0.75 	0.25 	
CH_QTVD	0.60 	0.40 	
CH_SLC	0.55 	0.45 	
CH_SQC	0.75 	0.25 	
CH_TV	0.30 	0.70 	
CH_XX	0.70 	0.30 	
QH_BBBD	0.30 	0.70 	
QH_BDMT	0.35 	0.65 	
QH_BQ	0.30 	0.70 	
QH_CD	0.15 	0.85 	
QH_CTVTVT	0.45 	0.55 	
QH_CTX	0.45 	0.55 	
QH_CVGCTQ	0.50 	0.50 	
QH_DBBMCG	0.30 	0.70 	
QH_DCSC	0.20 	0.80 	
QH_DQNB	0.15 	0.85 	
QH_GDCC	0.15 	0.85 	
QH_GTGM	0.20 	0.80 	
QH_LGD	0.35 	0.65 	
QH_LVDC	0.25 	0.75 	
QH_MN	0.65 	0.35 	
QH_NGMD	0.20 	0.80 	
QH_NMKN	0.05 	0.95 	
QH_NODHLV	0.25 	0.75 	
QH_NQNL	0.10 	0.90 	
QH_SCLK	0.45 	0.55 	
QH_SMAD	0.25 	0.75 	
QH_TETCHL	0.15 	0.85 	
QH_TPTN	0.25 	0.75 	
QH_TRBMSTC	0.25 	0.75 	
QH_VBM	0.15 	0.85 	
