FileTest	CH	QH	
CH_BT	20 	0 	20
CH_CCHV	19 	1 	20
CH_CG	19 	1 	20
CH_CNGM	19 	1 	20
CH_CP	20 	0 	20
CH_DD	18 	2 	20
CH_DL	20 	0 	20
CH_DLMC	19 	1 	20
CH_DPPC	20 	0 	20
CH_DTBT	20 	0 	20
CH_DTTD	18 	2 	20
CH_DTTK	19 	1 	20
CH_DTTN	20 	0 	20
CH_DX	19 	1 	20
CH_DXN	19 	1 	20
CH_LL	18 	2 	20
CH_LNC	17 	3 	20
CH_NTQT	20 	0 	20
CH_QG	17 	3 	20
CH_QM	20 	0 	20
CH_QTVD	16 	4 	20
CH_SLC	17 	3 	20
CH_SQC	20 	0 	20
CH_TV	13 	7 	20
CH_XX	9 	11 	20
QH_BBBD	0 	20 	20
QH_BDMT	4 	16 	20
QH_BQ	1 	19 	20
QH_CD	1 	19 	20
QH_CTVTVT	4 	16 	20
QH_CTX	5 	15 	20
QH_CVGCTQ	2 	18 	20
QH_DBBMCG	0 	20 	20
QH_DCSC	4 	16 	20
QH_DQNB	5 	15 	20
QH_GDCC	2 	18 	20
QH_GTGM	3 	17 	20
QH_LGD	5 	15 	20
QH_LVDC	2 	18 	20
QH_MN	10 	10 	20
QH_NGMD	2 	18 	20
QH_NMKN	0 	20 	20
QH_NODHLV	4 	16 	20
QH_NQNL	1 	19 	20
QH_SCLK	5 	15 	20
QH_SMAD	0 	20 	20
QH_TETCHL	1 	19 	20
QH_TPTN	1 	19 	20
QH_TRBMSTC	4 	16 	20
QH_VBM	0 	20 	20
