FileTest	QH_BBBD	QH_BDMT	QH_BQ	QH_CD	QH_CTVTVT	QH_CTX	QH_CVGCTQ	QH_DBBMCG	QH_DCSC	QH_DQNB	QH_GDCC	QH_GTGM	QH_LGD	QH_LVDC	QH_MN	QH_NGMD	QH_NMKN	QH_NODHLV	QH_NQNL	QH_SCLK	QH_SMAD	QH_TETCHL	QH_TPTN	QH_TRBMSTC	QH_VBM	
QH_BBBD	11 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	2 	0 	2 	0 	0 	1 	1 	20
QH_BDMT	0 	8 	0 	0 	0 	4 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	2 	0 	0 	16
QH_BQ	0 	1 	17 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	20
QH_CD	0 	0 	0 	8 	0 	1 	0 	1 	0 	1 	3 	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	1 	19
QH_CTVTVT	0 	0 	0 	0 	16 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	20
QH_CTX	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	1 	0 	1 	0 	4 	2 	0 	0 	0 	3 	1 	1 	3 	1 	1 	20
QH_CVGCTQ	0 	0 	0 	0 	0 	0 	17 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	20
QH_DBBMCG	1 	0 	0 	0 	0 	0 	0 	11 	0 	0 	0 	0 	2 	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	3 	0 	20
QH_DCSC	0 	0 	0 	0 	0 	0 	0 	1 	19 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20
QH_DQNB	0 	0 	0 	0 	1 	0 	3 	0 	0 	12 	0 	0 	0 	0 	2 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 	20
QH_GDCC	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	12 	2 	0 	0 	0 	0 	0 	0 	0 	3 	0 	1 	0 	0 	0 	20
QH_GTGM	0 	0 	0 	0 	1 	0 	0 	0 	0 	1 	3 	5 	3 	0 	0 	1 	1 	0 	0 	3 	2 	0 	0 	0 	0 	20
QH_LGD	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	16
QH_LVDC	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	2 	0 	12 	1 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	20
QH_MN	0 	0 	0 	0 	3 	0 	1 	1 	0 	0 	0 	0 	1 	0 	7 	0 	0 	0 	0 	0 	2 	0 	0 	0 	1 	16
QH_NGMD	1 	0 	2 	0 	1 	0 	0 	0 	0 	1 	1 	0 	0 	1 	1 	11 	0 	0 	1 	0 	0 	0 	0 	0 	0 	20
QH_NMKN	2 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	1 	0 	0 	10 	0 	0 	2 	0 	0 	0 	0 	2 	20
QH_NODHLV	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	1 	0 	0 	2 	0 	1 	0 	10 	0 	0 	0 	0 	0 	0 	0 	16
QH_NQNL	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	1 	0 	0 	1 	0 	0 	0 	14 	2 	0 	0 	0 	0 	0 	20
QH_SCLK	1 	0 	0 	0 	2 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	3 	0 	16
QH_SMAD	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	2 	0 	2 	0 	0 	0 	0 	12 	0 	0 	1 	1 	20
QH_TETCHL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20 	0 	0 	0 	20
QH_TPTN	0 	1 	0 	0 	1 	1 	0 	0 	0 	1 	0 	2 	0 	1 	0 	0 	0 	1 	0 	0 	1 	1 	10 	0 	0 	20
QH_TRBMSTC	2 	0 	2 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	0 	1 	0 	0 	0 	12 	0 	20
QH_VBM	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	20 	20
Ket qua nhan dang trung binh 0.59 
	0
